nombre_brevets,inventor
Le Normand Benateau Serge,1
Pierre Puget,1
Nathalie Chevrot,1
Alfredo Lucia,1
Kurt Günther,1
Flavien ETIENNE,1
Blandine Testud,1
Frédéric Vandenbussche,1
Ole Green,1
Raphaël OLSZEWSKI,1
Denis Megard,1
Jean-Philippe Cognard,1
Baptiste CHAPELLAN,1
Fabrice Ollier,1
Richard Guignon,1
Christophe Maerky,1
Fabrice Berro,1
Eric Grand,1
Ludovic De MEEÜS d'ARGENTEUIL,1
Jean-Baptiste Henry,1
Christophe LEN,1
Sylvain Rodat,1
Catherine Desgranges,1
Marc Luther,1
Yves Bardout,1
Louis Cravero,1
Jérémy GASTEBOIS,1
Jean Cartigny,1
Flavien Maingreaud,1
Jean Lemoine,1
Francesco Ferrari,1
Giovanni Mazzon,1
Philippe Cha,1
William Hornebeck,1
Stephane Fougeres,1
Satoru Takahashi,1
Frédéric FINE,1
Bela Bechtold,1
Stéphane Lavallee,1
Philippe Hemeury,1
Sylvain RIBE,1
Joeri VAN ISEGHEM,1
Hélène FAURE,1
Werner Herppich,1
Saoussen Arfaoui,1
Christophe Deffontaine,1
Sascha Stelter,1
Jacques GRIFFET,1
Gavin SCHNEIDER,1
Pierre Calleja,1
Tamas Gabor Palfy,1
Sergio LESCANO,1
Alexandre BRAME,1
Hardik Gupta,1
Nicolas BALEYNAUD,1
Jamie W Lerbs,1
Jacqueline Grima-Pettenati,1
Christian Jebsen,1
Wilhelm Sturm,1
Hugo Pierre Théo GIMBERT,1
Laurent GALMICHE,1
祐太 香田,1
Mathis Grenier,1
Apostolos Kountouris,1
Pierre PELE,1
Pierre George,1
Christian LOZANO,1
Maffli Luc,1
Johannes Cornelious Van Wingerden,1
Denis Mischler,1
Briand Joel,1
Nadir GHROUS,1
Gérald Germain,1
Yannick MALBERT,1
Jean Dubousset,1
Hidekazu Tsudome,1
David W. Larson,1
Marcus Lehnen,1
Anthony Ginter,1
Eric Dubreucq,1
Hermine Roudaut,1
Peter HIMSCHOOT,1
Alain Sailland,1
Robert Julien Augustin Antoine,1
Gentil Pierre-Yves Le,1
Giuliano Leonardi,1
Virginie GOBERT-DEVEAUX,1
Bernard Hadoux,1
Benoit Miscopein,1
Marco Zambolin,1
Alessandro Bozzoli,1
Oulevey Mathieu,1
Maria Teresa Mitjavila,1
Cintia Rosa Ferrari,1
Gilbert J.I. Strubbe,1
Martin Luber,1
Philippe Niessen,1
Pablo Luis Guarnizo,1
Bernard Delpuech,1
Laurine BERGERON,1
Jean-Jacques Franch,1
Camille DEFORCEVILLE,1
Solene Comparat,1
Bernard ORSAL,1
Akshay Saini,1
Gerhard Betz,1
Pascal HEMON,1
Kaynoush Naraghi,1
Alexandre OECONOMOS,1
Cédric BOISSIERE,1
Wenhao FANG,1
Jean Yves Queinnec,1
Luc Aguilar,1
Michael F. Tomasco,1
Benoît VALLE,1
Heinrich Robert Pohl,1
Shoichi Akiyama,1
Igor V. Goryachev,1
L Diane Bruce,1
David Peyrade,1
Sebastien Heard,1
Paul Honeine,1
Jean-Marie Faure,1
Daniele Naro,1
Nicolas Decorde,1
Guillaume Legrand,1
Shinya Satake,1
Florence Mus,1
Pierre Allio,1
Xavier Morel,1
Lorenz Seppi,1
Wolfgang Genius,1
Bénédicte SIMOND,1
Elodie SELVES,1
Charles B Spinelli,1
Laurence Lacrouts-Cazenave,1
Gilles Flamant,1
Jean SAEZ,1
Gubelmann Jean,1
Nathalie DERAIN,1
Gueguen Olivier,1
Jean Gérard Huguet,1
Jonathan DESTLER,1
Odile Carvalho,1
Jean-Sebastien Plante,1
Hirotaka Hojo,1
André BARRE,1
Jean-Louis TOURNAIRE,1
Maxence Consigny,1
Cécile SAQUET-GOUVILLE,1
Angélique BISSON,1
Firooz Rasouli,1
Stéphanie DESCROIX,1
Elise BERODIER,1
Martin Vande Ven,1
Tom Simonsen,1
Katarzyna Chuda,1
Charles Duval,1
Martin Zurn,1
Hervé LASSAGNE,1
Ernst Suter,1
Marcel LORINI,1
Emmanuelle Camblong,1
Patrick Garcia,1
Raphael Couturier,1
Francesco Ronchi,1
Guangrong Liu,1
David Navarro,1
Pierre Pouchol,1
Karen Teboul,1
Jean-Marie Botto,1
Morou Boukari,1
Robert Gaiani,1
Marine PESCHAUX,1
Sen WANG,1
Jean-François Goudou,1
Olivier Alaixendri,1
Laurent Pupunat,1
Jean-François LERAT,1
Michel Jacob,1
Rolf Fischer-Lubkemann,1
Philippe Mondon,1
Christian Signoret,1
Mark Robert Sivik,1
Carole Vachon,1
Jason STRAKA,1
Guillaume CORBIN,1
Stanislav Bartak,1
Michel LAYUS,1
François Gerard,1
Lennard Kressin,1
Alexandre LAVERGNE,1
Denis Pompon,1
Ryan Dominic Maladen,1
Angelica MORRA,1
Hélène BALBUSQUIER,1
Nathalie Julien,1
Guillaume FOURQUET,1
Rodrigo Collina Romanhole,1
Hiroshi Okada,1
Henri Batut,1
Giulio Vidali,1
Julien Sylvestre,1
Guy Broze,1
Laurence MESLET-CLADIERE,1
Stéphanie Odile Rébecca GERMON,1
Jean-Christophe GABELLE,1
Mohammad Alkhalili,1
Aleksander Bogusz SALWINSKI,1
Jean Louis Druilhe,1
Joël-Yann FOURRE,1
Axel Weyer,1
Ludovic Delage,1
Yves Loones,1
Daniel Nelson,1
Alexandre Prevault,1
Christine ROYNETTE,1
Nabilla Aoudia,1
Franck Imbert,1
Eric Terrisson,1
Kurt AHRENS,1
Heinz Dreyer,1
Raphael SANDOZ,1
Caroline Ringenbach,1
Christian Davico,1
Arnaud Marien,1
Wilhelm Kropf,1
Frédéric Dyrla,1
Jean Luc Gesztesi,1
Sitaram Ramaswamy,1
Marie-Hélène HAMELIN,1
Julien Gautier,1
Christoph Bauer,1
Philippe Michel,1
Cassia Michel,1
Clémence ALLAIN,1
Cherisey Imanol De,1
Philippe Lange,1
Bernard Mandrand,1
Ralph Seulin,1
Mylène REUSSARD,1
Bryan White,1
Christophe Mougel,1
Thomas Focke,1
Thomas Habas,1
Anne-Frédérique SALIT,1
Marc VIALLON,1
Luz Moreira Patricia Da,1
Michel MENEUVRIER,1
Pascual Perez,1
Guillaume Clave,1
François Zweig,1
Tetsuo Takasaki Plant Ogawa,1
Takahide K. K. HONDA GIJYUTSU KENKYUSHO YOSHIIKE,1
Mario REGA,1
Jürgen Wehner,1
Catherine Gondran,1
Jamie WALTERS,1
